Name	Start	Duration	Time Format	Type	Description
Marker 06	54871	0	48000 Hz	Cue	
Marker 07	67866	0	48000 Hz	Cue	
Marker 08	75989	0	48000 Hz	Cue	
Marker 09	80862	0	48000 Hz	Cue	
Marker 10	95400	0	48000 Hz	Cue	
Marker 11	109290	0	48000 Hz	Cue	
Marker 12	122286	0	48000 Hz	Cue	
Marker 13	163709	0	48000 Hz	Cue	
Marker 14	176705	0	48000 Hz	Cue	
Marker 15	203509	0	48000 Hz	Cue	
Marker 16	217316	0	48000 Hz	Cue	
Marker 17	271736	0	48000 Hz	Cue	
Marker 18	284731	0	48000 Hz	Cue	
Marker 19	298539	0	48000 Hz	Cue	
Marker 20	325343	0	48000 Hz	Cue	
Marker 21	366767	0	48000 Hz	Cue	
Marker 22	380575	0	48000 Hz	Cue	
